treatment,obstacle_number,distance_cm,speed_cm_s,distance_BL,speed_BL_s
intact,0,33.34240935,9.152459333,11.11413645,3.050819778
intact,0,25.9152509,9.20939975,7.622132618,2.708646985
intact,0,59.80197779,9.457848773,15.73736258,2.488907572
intact,0,37.7833895,8.953409835,11.44951197,2.713154495
intact,0,36.13756025,9.857490521,10.62869419,2.899261918
intact,0,45.5589962,7.367237418,11.38974905,1.841809355
intact,0,38.67468481,15.66410887,11.04990995,4.475459677
intact,2,79.15552013,7.771774191,23.98652125,2.355083088
intact,2,39.12578628,12.88303796,11.17879608,3.680867989
intact,2,34.03419998,9.281210793,9.453944439,2.578114109
intact,2,46.31785531,10.08883801,11.87637316,2.586881541
intact,2,33.84770535,13.2217599,8.678898808,3.390194846
intact,2,43.23405055,11.48009839,12.35258587,3.280028111
intact,2,33.09873848,14.15685991,9.456782423,4.044817117
intact,3,37.0187377,8.39808023,9.254684425,2.099520058
intact,3,44.9980135,17.8492715,13.63576167,5.408870152
intact,3,47.5663863,8.48642039,14.86449572,2.652006372
intact,3,91.1081133,12.7817219,28.47128541,3.994288094
intact,3,46.9087118,8.82572189,15.13184252,2.847007061
intact,3,45.6233631,9.65778219,11.12764954,2.355556632
intact,3,62.5467556,11.8864986,17.8705016,3.396142457
intact,4,32.411718,12.6066581,9.532858235,3.707840618
intact,4,39.7539712,10.4725952,12.04665794,3.173513697
intact,4,44.188864,14.0237588,12.62538971,4.006788229
intact,4,44.6380416,13.5884449,11.1595104,3.397111225
intact,4,47.7815062,11.6739571,14.93172069,3.648111594
intact,4,37.9076854,7.10280783,12.22828561,2.291228332
intact,4,63.7514271,8.23342724,19.31861427,2.494977952
ablated,0,41.5523264,17.6592973,12.985102,5.518530406
ablated,0,44.5375817,7.60286476,12.03718424,2.054828314
ablated,0,31.6835509,21.1646967,9.052443114,6.0470562
ablated,0,36.210619,14.2842679,10.97291485,4.32856603
ablated,0,27.018308,11.6058024,7.110081053,3.054158526
ablated,0,29.9333603,10.6410808,6.108849041,2.171649143
ablated,0,31.5251073,21.9228841,6.30502146,4.38457682
ablated,2,35.5490264,9.51526401,10.15686469,2.71864686
ablated,2,37.1384445,15.5586278,7.579274388,3.175230163
ablated,2,25.3666796,10.8916615,6.3416699,2.722915375
ablated,2,45.8967644,10.490689,9.17935288,2.0981378
ablated,2,34.4200252,10.0145549,7.822733,2.276035205
ablated,2,29.2696859,9.26255881,6.806903698,2.154083444
ablated,2,28.765524,9.44990931,5.9928175,1.968731106
ablated,3,35.8490087,10.1612837,10.24257391,2.903223914
ablated,3,25.1481909,12.9964811,5.848416488,3.022437465
ablated,3,42.8434367,11.2983747,12.24098191,3.228107057
ablated,3,28.9999952,17.7261584,6.904760762,4.220513905
ablated,3,37.3014138,19.4887219,8.289203067,4.330827089
ablated,3,43.4742653,17.4525353,9.249843681,3.713305383
ablated,3,27.8039435,12.4346796,6.178654111,2.763262133
ablated,4,47.129853,13.5313962,11.4950861,3.300340537
ablated,4,48.3220095,14.0634486,13.80628843,4.018128171
ablated,4,40.9552646,19.5304075,10.5013499,5.007796795
ablated,4,37.2533994,10.4850547,8.869857,2.496441595
ablated,4,33.1572878,9.65277666,6.766793429,1.96995442
ablated,4,41.9398745,12.9006073,10.48496863,3.225151825
ablated,4,41.9660249,13.0613212,8.928941468,2.779004511
