treatment,obstacles,time_seconds
intact,0,2.042
intact,0,1.041
intact,0,2.053
intact,0,3.007
intact,0,2.031
intact,0,2.053
intact,0,1.015
intact,2,9.036
intact,2,2.038
intact,2,2.049
intact,2,4.023
intact,2,1.052
intact,2,2.013
intact,3,4.005
intact,3,4.048
intact,3,6.036
intact,3,4.037
intact,3,4.023
intact,3,4.055
intact,4,2.006
intact,4,3.018
intact,4,3.004
intact,4,2.053
intact,4,3.043
intact,4,4.034
ablated,0,1.026
ablated,0,4.037
ablated,0,1.005
ablated,0,1.03
ablated,0,2.02
ablated,0,2.017
ablated,0,1.026
ablated,2,3.04
ablated,2,2.024
ablated,2,2.02
ablated,2,4.019
ablated,2,2.053
ablated,2,3.007
ablated,3,3.007
ablated,3,1.041
ablated,3,3.018
ablated,3,1.012
ablated,3,1.019
ablated,3,2.024
ablated,4,3.004
ablated,4,2.002
ablated,4,3.022
ablated,4,3
ablated,4,3.011
