obstacles,treatment,obstacle_number,touch_net_snout,touch_poles_snout,touch_net_fins,touch_poles_fins,total_touching,exit
2,intact,2,0,3,0,3,6,1
2,intact,2,1,3,0,1,5,1
2,intact,2,1,0,0,1,2,1
2,intact,2,2,6,0,0,8,1
2,intact,2,0,1,0,2,3,1
2,intact,2,0,0,0,0,0,0
2,intact,2,0,1,0,3,4,1
3,intact,3,0,3,0,4,7,1
3,intact,3,2,1,0,1,4,0
3,intact,3,1,0,0,1,2,1
3,intact,3,1,2,0,1,4,1
3,intact,3,0,4,0,1,5,1
3,intact,3,1,1,0,2,4,1
3,intact,3,0,2,0,0,2,1
4,intact,4,0,1,0,1,2,1
4,intact,4,2,3,0,2,7,1
4,intact,4,1,4,0,1,6,1
4,intact,4,2,2,0,2,6,1
4,intact,4,0,5,0,0,5,1
4,intact,4,1,1,0,1,3,1
4,intact,4,1,1,0,0,2,0
2,ablated,2,0,0,0,0,0,1
2,ablated,2,1,2,0,0,3,1
2,ablated,2,0,0,0,1,1,1
2,ablated,2,0,7,0,1,8,1
2,ablated,2,0,0,0,1,1,1
2,ablated,2,0,2,0,1,3,1
2,ablated,2,2,0,0,0,2,0
3,ablated,3,1,1,0,1,3,1
3,ablated,3,0,0,0,1,1,1
3,ablated,3,0,2,0,0,2,1
3,ablated,3,0,1,0,0,1,1
3,ablated,3,0,2,0,0,2,1
3,ablated,3,0,0,0,0,0,0
3,ablated,3,0,0,0,0,0,1
4,ablated,4,0,4,0,0,4,1
4,ablated,4,2,1,0,0,3,0
4,ablated,4,4,1,0,2,7,1
4,ablated,4,2,0,0,3,5,1
4,ablated,4,0,2,0,5,7,1
4,ablated,4,1,1,0,1,3,0
4,ablated,4,1,5,0,1,7,1
